condition,year,variable,actual_delta,actual_dir,engine_dir,engine_match,ar1_dir,ar1_match
FEDERATED (KEN+TZA+UGA),2021,imports_gdp,2.9342,1,1,True,-1,False
FEDERATED (KEN+TZA+UGA),2021,current_account,-1.3299,-1,-1,True,1,False
FEDERATED (KEN+TZA+UGA),2021,govt_consumption,-0.3308,-1,-1,True,1,False
FEDERATED (KEN+TZA+UGA),2021,tax_revenue,-0.7452,-1,,,-1,True
FEDERATED (KEN+TZA+UGA),2021,real_interest_rate,0.7129,1,1,True,-1,False
FEDERATED (KEN+TZA+UGA),2021,broad_money,-2.2138,-1,-1,True,1,False
FEDERATED (KEN+TZA+UGA),2021,private_credit,-1.0267,-1,1,False,1,False
FEDERATED (KEN+TZA+UGA),2021,urban_population,0.0816,1,-1,False,1,True
FEDERATED (KEN+TZA+UGA),2021,school_enrollment,1.8127,1,1,True,1,True
FEDERATED (KEN+TZA+UGA),2021,life_expectancy,-0.371,-1,1,False,-1,True
FEDERATED (KEN+TZA+UGA),2021,internet_users,2.2401,1,-1,False,1,True
FEDERATED (KEN+TZA+UGA),2022,gdp_growth,-2.7305,-1,,,1,False
FEDERATED (KEN+TZA+UGA),2022,inflation,1.5519,1,1,True,1,True
FEDERATED (KEN+TZA+UGA),2022,unemployment,-0.128,-1,-1,True,1,False
FEDERATED (KEN+TZA+UGA),2022,exports_gdp,2.8473,1,1,True,1,True
FEDERATED (KEN+TZA+UGA),2022,imports_gdp,2.426,1,1,True,1,True
FEDERATED (KEN+TZA+UGA),2022,current_account,0.3991,1,-1,False,-1,False
FEDERATED (KEN+TZA+UGA),2022,govt_consumption,0.0664,1,1,True,-1,False
FEDERATED (KEN+TZA+UGA),2022,tax_revenue,1.0447,1,,,-1,False
FEDERATED (KEN+TZA+UGA),2022,real_interest_rate,-2.3987,-1,1,False,1,False
FEDERATED (KEN+TZA+UGA),2022,broad_money,-1.6089,-1,1,False,-1,True
FEDERATED (KEN+TZA+UGA),2022,private_credit,0.1353,1,-1,False,-1,False
FEDERATED (KEN+TZA+UGA),2022,urban_population,0.1428,1,-1,False,1,True
FEDERATED (KEN+TZA+UGA),2022,school_enrollment,4.7851,1,1,True,1,True
FEDERATED (KEN+TZA+UGA),2022,life_expectancy,2.324,1,1,True,-1,False
FEDERATED (KEN+TZA+UGA),2022,internet_users,2.443,1,-1,False,1,True
FEDERATED (KEN+TZA+UGA),2023,gdp_growth,0.86,1,-1,False,-1,False
FEDERATED (KEN+TZA+UGA),2023,inflation,0.0115,1,1,True,1,True
FEDERATED (KEN+TZA+UGA),2023,unemployment,-0.156,-1,-1,True,-1,True
FEDERATED (KEN+TZA+UGA),2023,exports_gdp,0.9336,1,-1,False,1,True
FEDERATED (KEN+TZA+UGA),2023,imports_gdp,-0.0979,-1,1,False,1,False
FEDERATED (KEN+TZA+UGA),2023,current_account,1.6544,1,-1,False,1,True
FEDERATED (KEN+TZA+UGA),2023,govt_consumption,-0.4363,-1,1,False,1,False
FEDERATED (KEN+TZA+UGA),2023,tax_revenue,-0.5362,-1,,,1,False
FEDERATED (KEN+TZA+UGA),2023,real_interest_rate,2.7239,1,1,True,-1,False
FEDERATED (KEN+TZA+UGA),2023,broad_money,2.8269,1,1,True,-1,False
FEDERATED (KEN+TZA+UGA),2023,private_credit,0.5397,1,-1,False,1,True
FEDERATED (KEN+TZA+UGA),2023,urban_population,0.2023,1,1,True,1,True
FEDERATED (KEN+TZA+UGA),2023,school_enrollment,-0.3036,-1,1,False,1,False
FEDERATED (KEN+TZA+UGA),2023,life_expectancy,0.097,1,-1,False,1,True
FEDERATED (KEN+TZA+UGA),2023,internet_users,2.6645,1,-1,False,1,True
