hypothesis_id,rel_type,birth_step,death_step,lifetime_steps,n_state_transitions,final_state,final_conf,evidence
5a05a2fa,SYNERGISTIC,31,34,3,0,tentative,0.25,2
6de790c6,pruned,13,19,6,0,tentative,0.0,0
e0e2290c,pruned,19,29,10,0,tentative,0.0,0
e211e8be,COMPETITIVE,29,34,5,0,tentative,0.1667,4
c65c3138,PROBABILISTIC,29,34,5,0,tentative,0.1667,4
8338fd0c,pruned,0,9,9,0,tentative,0.0,0
b33dd808,GRAPH,31,34,3,0,tentative,0.25,2
4ef865bd,FUNCTIONAL,25,34,9,0,tentative,0.1,8
4f0065a1,pruned,11,19,8,0,tentative,0.0,0
2328252b,pruned,1,9,8,0,tentative,0.0,0
3ba48143,pruned,0,9,9,0,tentative,0.0,0
5fb13b56,FUNCTIONAL,31,34,3,0,tentative,0.25,2
7cd467bb,SYNERGISTIC,27,34,7,0,tentative,0.125,6
03515a7b,pruned,19,29,10,0,tentative,0.0,0
7bb3dce2,pruned,23,29,6,0,tentative,0.0,0
a3d39ddb,pruned,21,29,8,0,tentative,0.0,0
