step,variable,baseline,shocked,delta,delta_pct,shock_id,shock_label
3,current_account,-0.3193,-0.3185,0.0008,0.24,S2_debt,Government debt +15 pp GDP
3,dom_credit_pvt,3.9808,3.9861,0.0053,0.13,S2_debt,Government debt +15 pp GDP
3,fdi_inflows,0.0592,0.0591,-0.0001,-0.12,S2_debt,Government debt +15 pp GDP
3,gdp_growth,0.7198,0.7147,-0.0051,-0.71,S2_debt,Government debt +15 pp GDP
3,gdp_per_capita,225.2921,227.9751,2.683,1.19,S2_debt,Government debt +15 pp GDP
3,gdp_usd,13339041383.6819,13589986111.3841,250944727.7022,1.88,S2_debt,Government debt +15 pp GDP
3,gov_debt_gdp,-0.0001,8.812,8.8121,6699486.43,S2_debt,Government debt +15 pp GDP
3,gov_expense_gdp,3.5059,3.4766,-0.0293,-0.83,S2_debt,Government debt +15 pp GDP
3,inflation_cpi,0.9547,0.9561,0.0013,0.14,S2_debt,Government debt +15 pp GDP
3,inflation_deflator,0.6777,0.6741,-0.0036,-0.53,S2_debt,Government debt +15 pp GDP
3,labor_force_part,8.3373,8.3351,-0.0023,-0.03,S2_debt,Government debt +15 pp GDP
3,military_exp_gdp,0.1223,0.1224,0.0001,0.1,S2_debt,Government debt +15 pp GDP
3,money_broad_gdp,5.0157,5.015,-0.0007,-0.01,S2_debt,Government debt +15 pp GDP
3,real_interest_rate,0.9697,0.9567,-0.013,-1.34,S2_debt,Government debt +15 pp GDP
3,tax_revenue_gdp,1.7659,1.738,-0.0279,-1.58,S2_debt,Government debt +15 pp GDP
3,trade_gdp,5.1377,5.1358,-0.002,-0.04,S2_debt,Government debt +15 pp GDP
3,unemployment,0.7027,0.6925,-0.0102,-1.45,S2_debt,Government debt +15 pp GDP
3,urban_pop_growth,0.3279,0.3306,0.0027,0.82,S2_debt,Government debt +15 pp GDP
4,current_account,-0.1601,-0.1593,0.0008,0.52,S2_debt,Government debt +15 pp GDP
4,dom_credit_pvt,1.9967,1.9898,-0.0069,-0.35,S2_debt,Government debt +15 pp GDP
4,fdi_inflows,0.0296,0.0296,-0.0,-0.16,S2_debt,Government debt +15 pp GDP
4,gdp_growth,0.3602,0.3562,-0.004,-1.12,S2_debt,Government debt +15 pp GDP
4,gdp_per_capita,112.6044,114.2058,1.6014,1.42,S2_debt,Government debt +15 pp GDP
4,gdp_usd,6643973551.4832,6772357952.5393,128384401.0562,1.93,S2_debt,Government debt +15 pp GDP
4,gov_debt_gdp,-0.0001,4.4187,4.4188,6736711.91,S2_debt,Government debt +15 pp GDP
4,gov_expense_gdp,1.7453,1.7439,-0.0015,-0.08,S2_debt,Government debt +15 pp GDP
4,inflation_cpi,0.4751,0.4762,0.0012,0.25,S2_debt,Government debt +15 pp GDP
4,inflation_deflator,0.339,0.3365,-0.0025,-0.74,S2_debt,Government debt +15 pp GDP
4,labor_force_part,4.1572,4.1506,-0.0066,-0.16,S2_debt,Government debt +15 pp GDP
4,military_exp_gdp,0.0614,0.0615,0.0001,0.15,S2_debt,Government debt +15 pp GDP
4,money_broad_gdp,2.5201,2.5017,-0.0184,-0.73,S2_debt,Government debt +15 pp GDP
4,real_interest_rate,0.4841,0.4766,-0.0075,-1.56,S2_debt,Government debt +15 pp GDP
4,tax_revenue_gdp,0.8812,0.8707,-0.0105,-1.19,S2_debt,Government debt +15 pp GDP
4,trade_gdp,2.5698,2.5568,-0.013,-0.5,S2_debt,Government debt +15 pp GDP
4,unemployment,0.3519,0.3466,-0.0053,-1.49,S2_debt,Government debt +15 pp GDP
4,urban_pop_growth,0.1647,0.1653,0.0007,0.42,S2_debt,Government debt +15 pp GDP
5,current_account,-0.0799,-0.0799,-0.0,-0.05,S2_debt,Government debt +15 pp GDP
5,dom_credit_pvt,0.9972,0.9995,0.0023,0.23,S2_debt,Government debt +15 pp GDP
5,fdi_inflows,0.0148,0.0148,0.0001,0.47,S2_debt,Government debt +15 pp GDP
5,gdp_growth,0.1798,0.178,-0.0018,-0.99,S2_debt,Government debt +15 pp GDP
5,gdp_per_capita,56.2045,56.8488,0.6443,1.15,S2_debt,Government debt +15 pp GDP
5,gdp_usd,3325876193.9266,3381514194.8067,55638000.8801,1.67,S2_debt,Government debt +15 pp GDP
5,gov_debt_gdp,-0.0,2.2056,2.2056,6735983.58,S2_debt,Government debt +15 pp GDP
5,gov_expense_gdp,0.8703,0.8686,-0.0017,-0.2,S2_debt,Government debt +15 pp GDP
5,inflation_cpi,0.2387,0.2389,0.0002,0.1,S2_debt,Government debt +15 pp GDP
5,inflation_deflator,0.1699,0.1688,-0.0011,-0.63,S2_debt,Government debt +15 pp GDP
5,labor_force_part,2.0732,2.0758,0.0025,0.12,S2_debt,Government debt +15 pp GDP
5,military_exp_gdp,0.0306,0.0307,0.0001,0.48,S2_debt,Government debt +15 pp GDP
5,money_broad_gdp,1.2572,1.2564,-0.0008,-0.07,S2_debt,Government debt +15 pp GDP
5,real_interest_rate,0.2425,0.2373,-0.0051,-2.12,S2_debt,Government debt +15 pp GDP
5,tax_revenue_gdp,0.4385,0.4369,-0.0017,-0.38,S2_debt,Government debt +15 pp GDP
